Invoice_ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
75016718428;2;Yangon;2;Female;Health and beauty;74.69;7;261.415;5.489.715;1/5/2019;13:08;Ewallet;522.83;4.761.904.762;261.415;9.1
22613113081;1;Naypyitaw;1;Female;Electronic accessories;15.28;5;3.82;80.22;3/8/2019;10:29;Cash;76.4;4.761.904.762;3.82;9.6
63114113108;3;Yangon;1;Male;Home and lifestyle;46.33;7;162.155;3.405.255;3/3/2019;13:23;Credit card;324.31;4.761.904.762;162.155;7.4
12311911176;1;Yangon;2;Male;Health and beauty;58.22;8;23.288;489.048;1/27/2019;20:33;Ewallet;465.76;4.761.904.762;23.288;8.4
37317317910;1;Yangon;1;Male;Sports and travel;86.31;7;302.085;6.343.785;2/8/2019;10:37;Ewallet;604.17;4.761.904.762;302.085;5.3
69911413026;1;Naypyitaw;1;Male;Electronic accessories;85.39;7;298.865;6.276.165;3/25/2019;18:30;Ewallet;597.73;4.761.904.762;298.865;4.1
35515315943;3;Yangon;2;Female;Electronic accessories;68.84;6;20.652;433.692;2/25/2019;14:36;Ewallet;413.04;4.761.904.762;20.652;5.8
31512215665;1;Naypyitaw;1;Female;Home and lifestyle;73.56;10;36.78;772.38;2/24/2019;11:38;Ewallet;735.6;4.761.904.762;36.78;8
66513219167;3;Yangon;2;Female;Health and beauty;36.26;2;3.626;76.146;1/10/2019;17:15;Credit card;72.52;4.761.904.762;3.626;7.2
69219215582;1;Mandalay;2;Female;Food and beverages;54.84;3;8.226;172.746;2/20/2019;13:27;Credit card;164.52;4.761.904.762;8.226;5.9
35116210822;2;Mandalay;2;Female;Fashion accessories;14.48;4;2.896;60.816;2/6/2019;18:07;Ewallet;57.92;4.761.904.762;2.896;4.5
52915613974;2;Mandalay;2;Male;Electronic accessories;25.51;4;5.102;107.142;3/9/2019;17:03;Cash;102.04;4.761.904.762;5.102;6.8
36516410515;2;Yangon;1;Female;Electronic accessories;46.95;5;117.375;2.464.875;2/12/2019;10:25;Ewallet;234.75;4.761.904.762;117.375;7.1
25215612699;1;Yangon;1;Male;Food and beverages;43.19;10;21.595;453.495;2/7/2019;16:48;Ewallet;431.9;4.761.904.762;21.595;8.2
82913413910;1;Yangon;1;Female;Health and beauty;71.38;10;35.69;749.49;3/29/2019;19:21;Cash;713.8;4.761.904.762;35.69;5.7
29914611805;1;Mandalay;2;Female;Sports and travel;93.72;6;28.116;590.436;1/15/2019;16:19;Cash;562.32;4.761.904.762;28.116;4.5
65619519349;2;Yangon;2;Female;Health and beauty;68.93;7;241.255;5.066.355;3/11/2019;11:03;Credit card;482.51;4.761.904.762;241.255;4.6
76512616951;1;Yangon;1;Male;Sports and travel;72.61;6;21.783;457.443;1/1/2019;10:39;Credit card;435.66;4.761.904.762;21.783;6.9
32916211586;1;Yangon;1;Male;Food and beverages;54.67;3;82.005;1.722.105;1/21/2019;18:00;Credit card;164.01;4.761.904.762;82.005;8.6
31915013348;1;Mandalay;1;Female;Home and lifestyle;40.3;2;4.03;84.63;3/11/2019;15:30;Ewallet;80.6;4.761.904.762;4.03;4.4
